epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.171756,0.0999,0.068808,0.9797
2,0.062873,0.0998,0.054023,0.9832
3,0.044884,0.0998,0.055221,0.9845
4,0.035497,0.0999,0.044917,0.9875
5,0.030041,0.0987,0.047041,0.9882
6,0.024071,0.1008,0.047118,0.986
7,0.019869,0.1009,0.048185,0.9858
8,0.016681,0.0999,0.054959,0.9867
9,0.015405,0.0993,0.047835,0.9875
10,0.012827,0.1013,0.047911,0.988
