epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.272646,0.0996,0.128087,0.9647
2,0.112271,0.0983,0.092766,0.9722
3,0.073826,0.0995,0.078963,0.977
4,0.055127,0.0984,0.073329,0.9787
5,0.041003,0.1003,0.072299,0.9795
6,0.031346,0.1001,0.077982,0.9775
7,0.021773,0.1018,0.071606,0.98
8,0.017453,0.0984,0.091688,0.977
9,0.012879,0.0984,0.065953,0.9835
10,0.008139,0.1002,0.068122,0.9835
