epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.18368,0.1001,0.079232,0.9777
2,0.066577,0.1017,0.060685,0.9825
3,0.048607,0.099,0.044508,0.9868
4,0.037537,0.0992,0.042981,0.9878
5,0.030552,0.0978,0.044074,0.9882
6,0.023494,0.1029,0.044705,0.9882
7,0.020722,0.1011,0.038728,0.9907
8,0.016826,0.1039,0.042219,0.9877
9,0.014315,0.1005,0.046966,0.9892
10,0.012261,0.0997,0.042683,0.991
